Drying treatment,Equilibrated RH (%),Moisture content (%),Germ temps,Medium,Rep,No. sown,Germ start (day),No. germ (Radicle),Germ %,Test duration (days),Last germ (day),"Viable, not germ"
Fresh,94,27.8,Summer,WA,1,14,na,0,0,180,na,14
Fresh,94,27.8,Summer,WA,2,14,na,0,0,180,na,14
Fresh,94,27.8,Summer,WA,3,15,na,0,0,180,na,14
Fresh,94,27.8,Summer,WA + GA3,1,13,na,0,0,180,na,12
Fresh,94,27.8,Summer,WA + GA3,2,15,na,0,0,180,na,13
Fresh,94,27.8,Summer,WA + GA3,3,15,na,0,0,180,na,14
Fresh,94,27.8,Spring/autumn,WA,1,15,41,6,40,180,146,9
Fresh,94,27.8,Spring/autumn,WA,2,13,48,4,31,180,132,9
Fresh,94,27.8,Spring/autumn,WA,3,14,34,4,29,180,97,8
Fresh,94,27.8,Spring/autumn,WA + GA3,1,14,38,6,43,180,139,8
Fresh,94,27.8,Spring/autumn,WA + GA3,2,15,27,7,47,180,83,8
Fresh,94,27.8,Spring/autumn,WA + GA3,3,13,34,6,46,180,139,7
Fresh,94,27.8,Winter,WA,1,15,21,13,87,180,48,0
Fresh,94,27.8,Winter,WA,2,15,21,13,87,180,160,2
Fresh,94,27.8,Winter,WA,3,15,21,15,100,180,55,0
Fresh,94,27.8,Winter,WA + GA3,1,14,21,14,100,180,160,0
Fresh,94,27.8,Winter,WA + GA3,2,14,21,14,100,180,97,0
Fresh,94,27.8,Winter,WA + GA3,3,13,21,13,100,180,84,0
Partially dried,63,6.9,Winter,WA,1,15,21,15,100,84,57,0
Partially dried,63,6.9,Winter,WA,2,15,21,15,100,84,40,0
Partially dried,63,6.9,Winter,WA,3,15,21,15,100,84,57,0
Fully dried,25,3.4,Winter,WA,1,13,22,12,92,182,42,1
Fully dried,25,3.4,Winter,WA,2,13,35,13,100,182,70,0
Fully dried,25,3.4,Winter,WA,3,14,22,14,100,182,49,0
Fresh,94,27.8,Move along,WA,1,14,48,10,71,367,132,3
Fresh,94,27.8,Move along,WA,2,13,34,12,92,367,160,0
Fresh,94,27.8,Move along,WA,3,14,34,9,64,367,125,2
Fresh,94,27.8,Move along,WA + GA3,1,14,38,14,100,367,237,0
Fresh,94,27.8,Move along,WA + GA3,2,11,32,11,100,367,202,0
Fresh,94,27.8,Move along,WA + GA3,3,14,32,13,93,367,118,0
